Model,Transcript_nr,Timeframe_LP,Timeframe_EVAL,Split,Amount,Metric,Value,POS,Matchtype
Lexical profile,1016,5,95 - 125,30,0,Coverage,0.0003157230056830141,ngram,Lemma
Lexical profile,1016,5,95 - 125,30,0,Cosine,,ngram,Lemma
Lexical profile,1016,5,125 - 155,30,0,Recall,0,NOUN,Exact
Lexical profile,1016,5,125 - 155,30,0,Coverage,0.0,NOUN,Exact
Lexical profile,1016,5,125 - 155,30,0,Cosine,0.0,NOUN,Exact
Lexical profile,1016,5,125 - 155,30,0,Recall,0,NOUN,Lemma
Lexical profile,1016,5,125 - 155,30,0,Coverage,0.0,NOUN,Lemma
Lexical profile,1016,5,125 - 155,30,0,Cosine,0.0,NOUN,Lemma
Lexical profile,1016,5,125 - 155,30,0,Recall,1.0,PRON,Exact
Lexical profile,1016,5,125 - 155,30,0,Coverage,0.13793103448275862,PRON,Exact
Lexical profile,1016,5,125 - 155,30,0,Cosine,0.6757086259154783,PRON,Exact
Lexical profile,1016,5,125 - 155,30,0,Recall,1.0,PRON,Lemma
Lexical profile,1016,5,125 - 155,30,0,Coverage,0.14814814814814814,PRON,Lemma
Lexical profile,1016,5,125 - 155,30,0,Cosine,0.6755393765315608,PRON,Lemma
Lexical profile,1016,5,125 - 155,30,0,Recall,0,ADJ,Exact
Lexical profile,1016,5,125 - 155,30,0,Coverage,0.0,ADJ,Exact
Lexical profile,1016,5,125 - 155,30,0,Cosine,0.0,ADJ,Exact
Lexical profile,1016,5,125 - 155,30,0,Recall,0,ADJ,Lemma
Lexical profile,1016,5,125 - 155,30,0,Coverage,0.0,ADJ,Lemma
Lexical profile,1016,5,125 - 155,30,0,Cosine,0.0,ADJ,Lemma
Lexical profile,1016,5,125 - 155,30,0,Recall,1.0,CONJ,Exact
Lexical profile,1016,5,125 - 155,30,0,Coverage,0.16666666666666666,CONJ,Exact
Lexical profile,1016,5,125 - 155,30,0,Cosine,0.8213021599758236,CONJ,Exact
Lexical profile,1016,5,125 - 155,30,0,Recall,1.0,CONJ,Lemma
Lexical profile,1016,5,125 - 155,30,0,Coverage,0.16666666666666666,CONJ,Lemma
Lexical profile,1016,5,125 - 155,30,0,Cosine,0.8213021599758236,CONJ,Lemma
Lexical profile,1016,5,125 - 155,30,0,Recall,1.0,VERB,Exact
Lexical profile,1016,5,125 - 155,30,0,Coverage,0.011560693641618497,VERB,Exact
Lexical profile,1016,5,125 - 155,30,0,Cosine,0.7065409225848365,VERB,Exact
Lexical profile,1016,5,125 - 155,30,0,Recall,1.0,VERB,Lemma
Lexical profile,1016,5,125 - 155,30,0,Coverage,0.0196078431372549,VERB,Lemma
Lexical profile,1016,5,125 - 155,30,0,Cosine,0.8815267707180894,VERB,Lemma
Lexical profile,1016,5,125 - 155,30,0,Recall,1.0,ADV,Exact
Lexical profile,1016,5,125 - 155,30,0,Coverage,0.05,ADV,Exact
Lexical profile,1016,5,125 - 155,30,0,Cosine,0.6692369192206375,ADV,Exact
Lexical profile,1016,5,125 - 155,30,0,Recall,1.0,ADV,Lemma
Lexical profile,1016,5,125 - 155,30,0,Coverage,0.05084745762711865,ADV,Lemma
Lexical profile,1016,5,125 - 155,30,0,Cosine,0.6692120421761708,ADV,Lemma
Lexical profile,1016,5,125 - 155,30,0,Recall,1.0,ngram,Exact
Lexical profile,1016,5,125 - 155,30,0,Coverage,0.00034344590726960504,ngram,Exact
Lexical profile,1016,5,125 - 155,30,0,Cosine,,ngram,Exact
Lexical profile,1016,5,125 - 155,30,0,Recall,1.0,ngram,Lemma
Lexical profile,1016,5,125 - 155,30,0,Coverage,0.0003522780648191639,ngram,Lemma
Lexical profile,1016,5,125 - 155,30,0,Cosine,,ngram,Lemma
Lexical profile,1016,10,10 - 40,30,0,Recall,0.6,NOUN,Exact
Lexical profile,1016,10,10 - 40,30,0,Coverage,0.015957446808510637,NOUN,Exact
Lexical profile,1016,10,10 - 40,30,0,Cosine,0.10326964248900634,NOUN,Exact
Lexical profile,1016,10,10 - 40,30,0,Recall,0.6,NOUN,Lemma
Lexical profile,1016,10,10 - 40,30,0,Coverage,0.016853932584269662,NOUN,Lemma
Lexical profile,1016,10,10 - 40,30,0,Cosine,0.10051190402817926,NOUN,Lemma
Lexical profile,1016,10,10 - 40,30,0,Recall,1.0,PRON,Exact
Lexical profile,1016,10,10 - 40,30,0,Coverage,0.25806451612903225,PRON,Exact
Lexical profile,1016,10,10 - 40,30,0,Cosine,0.7974197466414452,PRON,Exact
Lexical profile,1016,10,10 - 40,30,0,Recall,1.0,PRON,Lemma
Lexical profile,1016,10,10 - 40,30,0,Coverage,0.26666666666666666,PRON,Lemma
Lexical profile,1016,10,10 - 40,30,0,Cosine,0.7960735664355258,PRON,Lemma
Lexical profile,1016,10,10 - 40,30,0,Recall,0.8333333333333334,ADJ,Exact
Lexical profile,1016,10,10 - 40,30,0,Coverage,0.06172839506172839,ADJ,Exact
Lexical profile,1016,10,10 - 40,30,0,Cosine,0.5873346570288767,ADJ,Exact
Lexical profile,1016,10,10 - 40,30,0,Recall,0.8333333333333334,ADJ,Lemma
Lexical profile,1016,10,10 - 40,30,0,Coverage,0.07142857142857142,ADJ,Lemma
Lexical profile,1016,10,10 - 40,30,0,Cosine,0.5805961726155147,ADJ,Lemma
